ELEMENT_CODE,NATIONAL_SCIENTIFIC_NAME,NATIONAL_ENGL_NAME,NATIONAL_FR_NAME,CATEGORY,TAX_GROUP,CA_NNAME_LEVEL,KBATrigger,RemainingKBAPotential,KBATrigger_G,KBATrigger_G_A1,KBATrigger_G_B1,KBATrigger_G_B2,KBATrigger_G_B3,KBATrigger_G_PercThreshold,MinKBASize_G,KBATrigger_N,KBATrigger_N_A1,KBATrigger_N_B1,KBATrigger_N_PercThreshold,MinKBASize_N,KBATrigger_Applicability,EBAR_Mapping,MAJOR_HABITAT,ECCC_PrioritySpecies,Endemism,Endemism_Type,B1_GeoRestrict_G_ExpertInput,B1_GeoRestrict_N_ExpertInput,B1_GeoRestrict_ExpertName,B_TaxonomicGroup,B2_RestrictedRange,B2_NSpeciesNeeded,B2_Sources,B3_Subcriterion,B3_RegionRestricted,B3_Region,B3_NSpeciesNeeded,B3_Sources,PHYLUM,FAMILY_COM,GENUS,GLOBAL_SCIENTIFIC_NAME,GlobalName_Level,GLOBAL_SYNONYMS,GLOBAL_ENGL_NAME,GLOB_FR_NAME,COSEWIC_NAME,ENGLISH_COSEWIC_COM_NAME,FRENCH_COSEWIC_COM_NAME,CLASSIFICATION_STATUS,FullSpecies_ElementCode,GLOBAL_UNIQUE_IDENTIFIER,ELEMENT_GLOBAL_ID,ELEMENT_NATIONAL_ID,COSEWIC_ID,IUCN_InternalTaxonId,IUCN_AssessmentId,COSEWIC_STATUS,COSEWIC_Date,COSEWIC_Criteria,INTERP_COSEWIC,COSEWIC_SUMMARY,COSEWIC_Report,IUCN_CD,IUCN_AssessmentDate,IUCN_Criteria,IUCN_CriteriaVersion,IUCN_Systems,IUCN_PossiblyExtinct,IUCN_PopulationTrend,IUCN_PresenceCA,IUCN_OriginCA,IUCN_SeasonalityCA,IUCN_AOORange,IUCN_EOORange,IUCN_Congregatory,IUCN_PopulationSize,IUCN_LocationsNumber,IUCN_MovementPatterns,IUCN_AreaRestricted,IUCN_YearOfPopulationEstimate,G_RANK,ROUNDED_G_RANK,PRECAUTIONARY_G_RANK,G_RANK_CHANGE_DATE,G_RANK_REVIEW_DATE,G_RANK_PopReduction,N_RANK,ROUNDED_N_RANK,PRECAUTIONARY_N_RANK,PRECAUTIONARY_N_RANK_Breeding,PRECAUTIONARY_N_RANK_NonBreeding,PRECAUTIONARY_N_RANK_Migrant,N_RANK_CHANGE_DATE,N_RANK_REVIEW_DATE,N_RANK_PopReduction,BCD_STYLE_N_RANK,SARA_STATUS,CURRENT_DISTRIBUTION,CA_DIST_COMPLETE,CA_POPULATION,CA_ORIGIN,CA_REGULARITY,CA_CONFIDENCE,CA_PRESENCE,TOTAL_EOS_CANADA,AB_EOS,AB_SFS,BC_EOS,BC_SFS,MB_EOS,MB_SFS,NT_EOS,NT_SFS,ON_EOS,ON_SFS,SK_EOS,SK_SFS,YT_EOS,YT_SFS,NATN_NRK_ALL_ENTS,BeyondNAmerica,BeyondUSCanada,US_STATES,AOO_N_COSEWIC,Range_G_IUCN,Range_N_IUCN,Range_N_ECCC,PercentRangeCanada,Source_NSCGlobalList,Source_NSCNationalList,Source_NSCOtherTaxa,Source_NSCEndemics,Source_IUCNSimpleSummary,Source_Other,NSC_Comments,PotentialKBAs
PDNYC010C0,Abronia latifolia,Yellow Sand-verbena,Abronie à feuilles larges,Vascular Plant,Flowering Plants,Species,Y,Y,N,N,N,,,,,Y,A1b/d,N,,,,,,N,N,,,,,,,,,,,,,,,Four-o'clock family,Abronia,Abronia latifolia,Species,,Yellow Sand-verbena,Abronie à feuilles larges,,,,Standard,PDNYC010C0,2-152709,152709,197702,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,1988-07-29,1988-07-29,,N2,N2,N2,,,,2016-10-14,2016-10-14,,,,BC,Y,,Native,Regularly occurring,Confident,Present,29,0,0,29,65,0,0,0,0,0,0,0,0,0,0,"CA(N2), US(NNR)",,,"CA, OR, WA",,,,,,N,Y,N,N,,N,,
PDNYC010N0,Abronia umbellata,Pink Sand-verbena,Abronie rose,Vascular Plant,Flowering Plants,Species,Y,Y,N,N,N,,,,,Y,A1a/c/e,N,,,,,,N,N,,,,,,,,,,,,,,,Four-o'clock family,Abronia,Abronia umbellata,Species,,Beach Sand-verbena,Abronie rose,,Pink Sand-verbena,Abronie rose,Standard,PDNYC010N0,2-143788,143788,235458,821,,,E,,,,"Reason for designation: An herb of maritime beach habitats last seen at a single site along the west coast of Vancouver Island with losses of two historic populations. The site of the last documented population is greatly disjunct from other small populations in Oregon. The species is found, characteristically, in low numbers and tends to persist in the seed-bed of its beach and foredune habitats, sporadically producing flowering plants. The species was last recorded in 2001 with only several plants present. It is assumed that the species may still persist as dormant seeds and may produce reproductive plants at some future date. The expansion of exotic beach grasses has reduced the quality and availability of its upper beach and foredune habitats at a number of sites within its historic range.
Status history: Designated Endangered in May 2004.",,,,,,,,,,,,,,,,,,,,G4G5,G4,G4,2001-10-16,2001-10-16,,N1,N1,N1,,,,2001-10-16,2016-10-11,,,E,BC,Y,,Native,Regularly occurring,Confident,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA(N1), MX(NNR), US(N4)",,Y,"CA, OR, WA",,,,61.61327556,,N,Y,N,N,,N,,
PDNYC010N2,Abronia umbellata ssp. breviflora,Pink Sand-verbenna,,Vascular Plant,Flowering Plants,Subspecies,Y,Y,N,N,N,,,,,Y,A1a/c/e,N,,,,,,N,N,,,,,,,,,,,,,,,Four-o'clock family,Abronia,Abronia umbellata ssp. breviflora,Subspecies,Abronia umbellata var. breviflora,Pink Sand-verbena,,,,,Standard,PDNYC010N0,2-158927,158927,242465,,,,,,,E,"Abronia umbellata ssp. breviflora is in Canada only if Abronia umbellata ssp. acutalata is considered a synonym, rather than a distinct subspecies. The full species Abronia umbellata is designated Endangered.",,,,,,,,,,,,,,,,,,,,G4G5T2,T2,T2,1997-03-18,2014-03-24,,N1,N1,N1,,,,2016-05-27,2016-05-27,,,,BC,Y,,Native,Regularly occurring,Confident,Present,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,"CA(N1), US(N2)",,,"CA, OR, WA",,,,,,N,Y,N,N,,N,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
